airline,total_incidents,total_fatalities,years_active,fatal_events,avg_damage,last_incident,recency_factor,incident_rate,fatality_rate,fatal_ratio,weighted_rate,norm_weighted_rate,norm_fatality_rate,norm_fatal_ratio,norm_avg_damage,penalty,safety_score,risk_label
Anchorage Air Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Jen Air,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Professional Air Charter Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Falcon Airways Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Reading Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Supreme Aviation Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Rivair Flying Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Flight Proficiency Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Bushmasters Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
The Rotor Works,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Alaskan Airventures,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Sunbelt Airlines Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Ross Flying Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Bristow Offshore,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Tiger Charter Corp,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Vale International Airlines,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Ohio Aviation Co Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Drace Flying Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Aurora Air Service Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
